City_ID,City,Lat,Lng,Max Temp (C),Humidity,Cloudiness,Wind Speed,Country,Date
170,queenstown,-31.8976,26.8753,10.75,32,100,1.8,ZA,1684991600
171,eenhana,-17.4667,16.3333,12.490000000000009,41,1,1.53,NA,1684991600
172,kattivakkam,13.2167,80.3167,37.05000000000001,63,15,3.52,IN,1684991600
173,shatsk,54.0258,41.7119,17.650000000000034,85,97,4.16,RU,1684991601
174,san julian,21.0167,-102.1667,21.360000000000014,19,9,2.55,MX,1684991601
175,chui,-33.6971,-53.4616,19.629999999999995,87,100,3.42,UY,1684991601
176,port augusta,-32.5,137.7667,14.350000000000023,76,100,8.92,AU,1684991602
177,itoman,26.1247,127.6694,27.430000000000007,75,75,3.6,JP,1684991547
178,hithadhoo,-0.6,73.0833,28.910000000000025,73,96,5.11,MV,1684991602
179,haiku-pauwela,20.9219,-156.3051,24.010000000000048,71,75,6.69,US,1684991603
180,tegina,10.0706,6.1906,25.150000000000034,81,46,2.08,NG,1684991603
181,cururupu,-1.8283,-44.8683,24.350000000000023,94,85,1.4,BR,1684991603
182,tarawa,1.419,172.984,30.05000000000001,74,20,2.57,KI,1684991603
183,achacachi,-16.05,-68.6833,4.82000000000005,33,34,1.64,BO,1684991604
184,macau,22.2006,113.5461,32.14000000000004,89,40,6.69,MO,1684991604
185,majuro,7.0897,171.3803,30.980000000000018,79,100,2.06,MH,1684991604
186,jutai,-5.1833,-68.9,22.100000000000023,99,100,0.39,BR,1684991481
187,pionerskiy,54.9508,20.2275,13.910000000000025,88,46,4.04,RU,1684991605
188,fuglafjordur,62.244,-6.814,7.260000000000048,81,18,11.62,FO,1684991605
189,sao jose da coroa grande,-8.8978,-35.1478,24.05000000000001,88,12,0.92,BR,1684991606
190,palembang,-2.9167,104.7458,32.05000000000001,62,40,3.6,ID,1684991606
191,ixtapa,20.7,-105.2,26.79000000000002,83,0,0.0,MX,1684991606
192,petauke,-14.2426,31.3253,16.150000000000034,71,0,1.11,ZM,1684991606
193,kutno,52.2306,19.3641,12.53000000000003,90,38,3.92,PL,1684991607
194,blackmans bay,-43.0167,147.3167,14.07000000000005,67,39,5.92,AU,1684991607
195,altamira,-3.2033,-52.2064,22.30000000000001,98,36,0.91,BR,1684991607
196,notodden,59.5594,9.2585,11.400000000000034,75,0,0.0,NO,1684991608
197,smithers,54.7804,-127.1743,16.180000000000007,48,0,4.12,CA,1684991608
198,roma,43.2128,-75.4557,6.160000000000025,89,0,0.0,US,1684991608
199,taltal,-25.4,-70.4833,16.700000000000045,80,1,0.88,CL,1684991609
200,opuwo,-18.0607,13.84,14.25,54,6,0.52,NA,1684991609
201,plastun,44.7561,136.2939,22.25,42,55,5.05,RU,1684991609
202,kazanskaya,45.4106,40.4361,19.670000000000016,85,66,0.89,RU,1684991609
203,vorgashor,67.5833,63.95,11.580000000000041,76,100,7.24,RU,1684991610
204,luau,-10.7073,22.2247,16.960000000000036,66,2,1.48,AO,1684991610
205,tsiombe,-25.3,45.4833,19.379999999999995,60,2,2.72,MG,1684991611
206,beledweyne,4.7358,45.2036,26.660000000000025,67,96,5.23,SO,1684991611
207,taksimo,56.3444,114.8794,4.100000000000023,96,100,2.37,RU,1684991611
